Event,Full Name,Team Name,points,Division,Weight
TX Nationals,Case Danielson,Texas Elite Wrestling Club,10,D1,60
Panhandle,Brian Alexander Fischer,,30,D1,65
Edge of Texas,Benji Cervantes,El Paso Texas Wrestling Club,30,D1,42
Panhandle,Benji Cervantes,El Paso Texas Wrestling Club (EPTWC),10,D1,42
Edge of Texas,Davian Perez,El Paso Wildcats Wrestling Club,5,D1,42
Heart of Texas,Davian Perez,El Paso Wildcats Wrestling Club,30,D1,42
Edge of Texas,Zayden Rios,Panhandle RTC,5,D1,46
Panhandle,Zayden Rios,Best Trained Wrestling,0,D1,46
TX Nationals,Zayden Rios,Panhandle RTC,10,D1,46
Panhandle,Zachary Hernandez,West Texas Grapplers Wrestling Club,10,D1,72
TX Nationals,Maximus Wilson,Liberty Warriors Wrestling Club,0,D1,60
Panhandle,Nolan Campsey,West Texas Grapplers Wrestling Club,5,D1,72
Panhandle,John Carpenter,Best Trained Wrestling,0,D1,60
Heart of Texas,John Carpenter,Best Trained Wrestling,30,D1,60
TX Nationals,John Carpenter,Best Trained Wrestling,10,D1,55
Panhandle,Manuel Diaz,Texas Wrestling Academy,0,D1,72
Panhandle,Colter Burrow,Dumas Wrestling,10,D1,55
Panhandle,Israel Rubalcado,Mission Wrestling Club,0,D1,65
TX Nationals,Israel Rubalcado,Mission Wrestling Club,0,D1,65
Edge of Texas,Santiago Chavez,El Paso Wildcats Wrestling Club,0,D1,72
Heart of Texas,Eli Hudson,Irish Wrestling Club,0,D1,50
Panhandle,Samuel Scott III,Stay Sharp Wrestling Club,5,D1,60
Edge of Texas,Samuel Scott Iii,STAY SHARP WRESTLING CLUB,5,D1,55
Panhandle,Zayden Rios,Panhandle RTC,10,D1,60
TX Nationals,Eliasz Esparza,Best Trained Wrestling,30,D1,50
TX Nationals,Ivan Gore,Nolf Wrestling Academy,30,D1,199
TX Nationals,Korey Benton,Rise Wrestling,30,D1,80
TX Nationals,Dean Norris,Vici Wrestling Club,10,D1,80
Heart of Texas,Dean Norris,Vici Wrestling Club,10,D1,80
Panhandle,Maverick Cox,Panhandle RTC,0,D1,55
TX Nationals,Adrian Chinchilla,Spring Klein Wrestling Club,0,D1,50
Edge of Texas,Ryder Felton,Takedown Elite,0,D1,50
Heart of Texas,Colton Eberheim,3F Wrestling,10,D1,65
TX Nationals,Isaiah Rodriguez,All American Wrestling Club,30,D1,65
Heart of Texas,Charles Yang,Katy Area Wrestling Club,0,D1,60
Panhandle,Quaid  Shaw,Panhandle RTC,0,D1,65
TX Nationals,Jake Gonzales,Vici Wrestling Club,0,D1,60
Heart of Texas,Jake Gonzales,Vici Wrestling Club,10,D1,60
Edge of Texas,Anthony Arroyos,Takedown Elite,10,D1,55
TX Nationals,Kacen Hinojos,Texas Elite Wrestling Club,10,D1,65
TX Nationals,Kinsley Ontiveros,Texas Elite Wrestling Club,5,D1,80
Edge of Texas,Thomas Castaneda,El Paso Texas Wrestling Club,30,D1,38
TX Nationals,Gavin Gosser,Nolf Wrestling Academy,0,D1,80
Edge of Texas,Gavin Gosser,Nolf Wrestling Academy,30,D1,72
Panhandle,Gavin Gosser,Nolf Wrestling Academy,30,D1,72
Heart of Texas,Gavin Gosser,Nolf Wrestling Academy,30,D1,72
Edge of Texas,Zayn Morales,El Paso Wildcats Wrestling Club,5,D1,60
TX Nationals,Beckham Van Buskirk,Vici Wrestling Club,0,D1,42
Edge of Texas,Leonardo Arredondo,El Paso Wildcats Wrestling Club,10,D1,65
Heart of Texas,Captain Michaelsen,Katy Area Wrestling Club,0,D1,50
TX Nationals,Captain Michaelsen,Katy Area Wrestling Club,5,D1,46
Edge of Texas,Jason Kay,Best Trained Wrestling,5,D1,65
